"Date","TSN","Price"
2013-07-05,60,26.32
2013-07-12,35,27.19
2013-07-19,29,27.07
2013-07-26,28,27.15
2013-08-02,25,28.51
2013-08-09,27,31.36
2013-08-16,24,31.44
2013-08-23,25,31.48
2013-08-30,24,28.95
2013-09-06,26,29.5
2013-09-13,26,30.25
2013-09-20,30,30.32
2013-09-27,33,28.6
2013-10-04,39,28.84
2013-10-11,36,29.76
2013-10-18,34,28.45
2013-10-25,31,28.14
2013-11-01,33,27.71
2013-11-08,31,28
2013-11-15,33,28.77
2013-11-22,33,31.82
2013-11-29,39,31.69
2013-12-06,36,33.82
2013-12-13,35,33.11
2013-12-20,29,33.21
2013-12-27,33,33.47
2014-01-03,57,33.42
2014-01-10,41,34.84
2014-01-17,34,35.04
2014-01-24,38,34.77
2014-01-31,33,37.4
2014-02-07,37,36.09
2014-02-14,45,37.73
2014-02-21,57,38.91
2014-02-28,33,39.45
2014-03-07,61,40.27
2014-03-14,34,41.48
2014-03-21,35,42.37
2014-03-28,33,43.15
2014-04-04,34,41.22
2014-04-11,35,41.67
2014-04-25,38,42.43
