"Date","General.Electric","Price"
2008-01-04,43,36.04
2008-01-11,45,35.17
2008-01-18,46,34.31
2008-01-25,47,34
2008-02-01,45,36.16
2008-02-08,45,33.84
2008-02-15,45,34.37
2008-02-22,46,33.55
2008-02-29,44,33.14
2008-03-07,47,32.23
2008-03-14,45,33.82
2008-03-28,42,36.61
2008-04-04,42,37.56
2008-04-11,49,32.05
2008-04-18,47,32.69
2008-04-25,44,33.33
2008-05-02,39,33.34
2008-05-09,44,32.27
2008-05-16,43,32.13
2008-05-23,44,30.43
2008-05-30,42,30.72
2008-06-06,41,30.02
2008-06-13,42,29.15
2008-06-20,42,27.38
2008-06-27,44,26.26
2008-07-11,45,27.66
2008-07-18,46,28
2008-07-25,43,28.71
2008-08-01,42,28.21
2008-08-08,41,29.64
2008-08-15,41,29.8
2008-08-22,38,29.12
2008-08-29,40,28.1
2008-09-05,39,27.88
2008-09-12,40,26.75
2008-09-19,45,26.62
2008-09-26,45,25.25
2008-10-03,52,21.57
2008-10-10,56,21.5
2008-10-17,50,19.63
2008-10-24,44,17.83
2008-10-31,43,19.51
2008-11-07,41,18.86
2008-11-14,43,16.02
2008-11-21,46,14.03
2008-11-28,39,17.17
2008-12-05,41,17.85
2008-12-12,40,17.11
2008-12-19,38,16.5
2008-12-26,33,15.97
2009-01-02,35,17.07
2009-01-09,37,16
2009-01-16,39,13.96
2009-01-23,45,12.03
2009-01-30,42,12.13
2009-02-06,41,11.1
2009-02-13,37,11.44
2009-02-20,42,9.38
2009-02-27,44,8.51
2009-03-06,53,7.06
2009-03-13,48,9.62
2009-03-20,46,9.54
2009-03-27,41,10.78
2009-04-03,43,10.94
2009-04-17,41,12.39
2009-04-24,42,12.11
2009-05-01,38,12.69
2009-05-08,42,14.53
2009-05-15,40,12.86
2009-05-22,38,13.1
2009-05-29,37,13.48
2009-06-05,40,13.54
2009-06-12,39,13.51
2009-06-19,38,12.1
2009-06-26,34,11.75
2009-07-10,35,10.78
2009-07-17,39,11.65
2009-07-24,39,12.03
2009-07-31,40,13.4
2009-08-07,38,14.7
2009-08-14,37,13.92
2009-08-21,39,14.21
2009-08-28,40,14.08
2009-09-04,37,13.87
2009-09-11,37,14.67
2009-09-18,36,16.5
2009-09-25,37,16.37
2009-10-02,37,15.36
2009-10-09,37,16.18
2009-10-16,40,16.08
2009-10-23,39,15.2
2009-10-30,35,14.26
2009-11-06,36,15.33
2009-11-13,34,15.66
2009-11-20,38,15.59
2009-11-27,35,15.94
2009-12-04,38,16.2
2009-12-11,32,15.92
2009-12-18,31,15.59
