"Date","International.Paper","Price"
2013-02-08,26,42.6
2013-02-15,27,42.17
2013-02-22,29,43
2013-03-01,28,44.28
2013-03-08,27,46.78
2013-03-15,30,45.66
2013-03-22,24,45.1
2013-04-05,25,46.15
2013-04-12,28,48.2
2013-04-19,28,45.67
2013-04-26,26,46.41
2013-05-03,25,45.62
2013-05-10,25,46.5
2013-05-17,27,48.18
2013-05-24,24,47.05
2013-05-31,21,46.15
2013-06-07,25,45.62
2013-06-14,23,45.35
2013-06-21,22,43.6
2013-06-28,22,44.31
2013-07-05,22,46.32
2013-07-12,24,48.13
2013-07-19,27,47.72
2013-07-26,26,49.11
2013-08-02,24,49.4
2013-08-09,26,48.02
2013-08-16,26,47.97
2013-08-23,25,46.86
2013-08-30,25,47.21
2013-09-06,25,47.86
2013-09-13,36,48.67
2013-09-20,28,47.79
2013-09-27,30,45.44
2013-10-04,26,43.7
2013-10-11,26,44.89
2013-10-18,24,45.47
2013-10-25,24,45.57
2013-11-01,26,44.96
2013-11-08,25,43.96
2013-11-15,27,45.53
2013-11-22,26,46.89
2013-11-29,21,46.65
2013-12-06,25,46.44
2013-12-13,25,47.83
2013-12-20,23,48.35
2013-12-27,17,49.04
2014-01-03,18,48.62
2014-01-10,23,48.93
2014-01-17,24,48.34
2014-01-24,25,45.56
2014-01-31,27,47.74
2014-02-07,27,47.42
2014-02-14,24,49.18
2014-02-21,27,49.16
2014-02-28,28,48.89
2014-03-07,26,48.15
2014-03-14,25,46.13
2014-03-21,25,45.78
2014-03-28,27,45.8
2014-04-04,25,45.81
2014-04-11,22,44.98
2014-04-25,25,45.63
