"Date","DirecTV","Price"
2014-01-17,49,71.65
2014-01-24,46,69.35
2014-01-31,45,69.43
2014-02-07,49,70.28
2014-02-14,47,71.89
2014-02-21,46,75.02
2014-02-28,44,77.6
2014-03-07,47,79.64
2014-03-14,45,76.88
2014-03-21,44,73.94
2014-03-28,58,75.72
2014-04-04,47,77.36
2014-04-11,46,74
2014-04-25,49,76.01
