Date,AMP,Price
2013-12-13,45,106.68
2013-12-20,45,111.81
2013-12-27,46,113.94
2014-01-03,45,113.90
2014-01-10,45,115.06
2014-01-17,47,113.37
2014-01-24,47,106.79
2014-01-31,47,105.64
2014-02-07,45,107.61
2014-02-14,46,107.09
2014-02-21,47,106.81
2014-02-28,48,108.99
2014-03-07,48,112.65
2014-03-14,48,108.25
2014-03-21,46,111.78
2014-03-28,47,108.81
2014-04-04,46,111.42
2014-04-11,46,101.74
2014-04-18,47,
2014-04-25,46,103.53
2014-05-02,46,
