Date,BBT,Price
2011-12-23,82,25.48
2011-12-30,76,25.17
2012-01-06,81,25.79
2012-01-13,81,27.23
2012-01-20,75,27.49
2012-01-27,73,26.95
2012-02-03,80,29.12
2012-02-10,77,29.33
2012-02-17,81,30.33
2012-02-24,78,29.48
2012-03-02,81,29.31
2012-03-09,77,29.46
2012-03-16,77,31.06
2012-03-23,75,30.99
2012-03-30,77,31.39
2012-04-06,78,
2012-04-13,77,30.49
2012-04-20,80,31.58
2012-04-27,75,32.63
2012-05-04,85,31.57
2012-05-11,78,31.75
2012-05-18,77,29.68
2012-05-25,75,30.43
2012-06-01,76,28.35
2012-06-08,78,29.01
2012-06-15,79,29.82
2012-06-22,78,30.39
2012-06-29,80,30.85
2012-07-06,79,30.95
2012-07-13,82,31.50
2012-07-20,85,31.68
2012-07-27,80,32.40
2012-08-03,82,31.65
2012-08-10,82,31.56
2012-08-17,83,31.96
2012-08-24,81,31.11
2012-08-31,82,31.54
2012-09-07,83,32.86
2012-09-14,80,33.99
2012-09-21,81,33.31
2012-09-28,85,33.16
2012-10-05,87,33.64
2012-10-12,80,32.34
2012-10-19,100,29.78
2012-10-26,85,29.01
2012-11-02,88,29.42
2012-11-09,86,27.55
2012-11-16,85,28.04
2012-11-23,78,28.81
2012-11-30,88,28.17
2012-12-07,89,28.42
2012-12-14,88,28.29
2012-12-21,86,29.45
2012-12-28,84,28.85
2013-01-04,98,30.20
2013-01-11,88,30.31
2013-01-18,91,31.04
2013-01-25,86,30.87
2013-02-01,91,31.12
2013-02-08,87,30.65
2013-02-15,85,30.27
2013-02-22,84,30.58
2013-03-01,89,30.66
2013-03-08,89,31.40
2013-03-15,89,30.98
2013-03-22,88,30.80
2013-03-29,89,
2013-04-05,95,30.10
2013-04-12,83,31.01
2013-04-19,83,29.69
2013-04-26,83,30.57
2013-05-03,83,30.94
2013-05-10,81,31.41
2013-05-17,79,32.55
2013-05-24,75,32.82
2013-05-31,76,32.92
2013-06-07,83,33.23
2013-06-14,77,32.78
2013-06-21,78,33.68
2013-06-28,76,33.88
2013-07-05,76,34.88
2013-07-12,83,34.80
2013-07-19,86,35.10
2013-07-26,81,35.74
2013-08-02,89,36.42
2013-08-09,81,35.46
2013-08-16,83,35.53
2013-08-23,80,35.76
2013-08-30,81,33.96
2013-09-06,77,33.52
2013-09-13,74,34.01
2013-09-20,75,35.05
2013-09-27,75,33.97
2013-10-04,79,33.67
2013-10-11,77,33.73
2013-10-18,78,33.60
2013-10-25,73,34.81
2013-11-01,78,33.89
2013-11-08,77,33.63
2013-11-15,76,33.78
2013-11-22,75,34.74
2013-11-29,68,34.74
2013-12-06,77,34.95
2013-12-13,73,35.34
2013-12-20,79,36.68
2013-12-27,75,37.10
2014-01-03,79,36.93
2014-01-10,73,38.66
2014-01-17,75,38.78
2014-01-24,73,38.26
2014-01-31,75,37.41
2014-02-07,77,37.29
2014-02-14,76,37.60
2014-02-21,73,37.22
2014-02-28,76,37.80
2014-03-07,76,39.18
2014-03-14,74,38.47
2014-03-21,70,40.19
2014-03-28,73,39.83
2014-04-04,74,40.04
2014-04-11,73,38.65
2014-04-18,75,
2014-04-25,71,37.33
2014-05-02,64,
