Date,BMS,Price
2013-04-19,39,39.95
2013-04-26,39,38.71
2013-05-03,37,39.40
2013-05-10,39,39.73
2013-05-17,38,40.79
2013-05-24,44,40.14
2013-05-31,49,39.15
2013-06-07,54,39.61
2013-06-14,54,39.43
2013-06-21,50,38.60
2013-06-28,49,39.14
2013-07-05,49,39.71
2013-07-12,48,41.49
2013-07-19,52,41.35
2013-07-26,45,41.16
2013-08-02,44,42.23
2013-08-09,44,41.80
2013-08-16,44,40.74
2013-08-23,44,41.11
2013-08-30,42,39.79
2013-09-06,41,39.95
2013-09-13,41,39.41
2013-09-20,41,39.58
2013-09-27,40,39.38
2013-10-04,38,38.47
2013-10-11,39,38.73
2013-10-18,40,39.08
2013-10-25,39,40.00
2013-11-01,38,39.83
2013-11-08,40,39.07
2013-11-15,41,39.15
2013-11-22,39,39.54
2013-11-29,41,39.03
2013-12-06,40,39.47
2013-12-13,41,39.09
2013-12-20,41,39.78
2013-12-27,37,40.58
2014-01-03,45,40.41
2014-01-10,50,40.48
2014-01-17,47,39.91
2014-01-24,47,37.85
2014-01-31,46,38.51
2014-02-07,43,38.49
2014-02-14,44,39.06
2014-02-21,46,38.88
2014-02-28,44,39.28
2014-03-07,46,39.38
2014-03-14,45,38.45
2014-03-21,45,38.34
2014-03-28,47,38.34
2014-04-04,46,39.92
2014-04-11,62,39.58
2014-04-18,64,
2014-04-25,57,40.31
2014-05-02,58,
